,City,Cloudiness,Country,Data,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Arraial do Cabo,20,BR,1560895226,78,-22.97,-42.02,23.0,4.1
1,Lityn,15,UA,1560895226,92,49.32,28.09,17.4,1.8
2,Athmallik,100,IN,1560895226,61,20.72,84.53,30.0,4.01
3,Kapaa,20,US,1560895227,66,22.08,-159.32,30.0,5.7
4,Fort Nelson,90,CA,1560895227,82,58.81,-122.69,14.0,7.2
5,Puerto Ayora,75,EC,1560895070,76,-0.74,-90.35,24.7,3.84
6,Hobart,40,AU,1560895007,96,-42.88,147.33,8.0,6.7
7,Borovskoy,0,KZ,1560895228,79,53.8,64.15,7.8,2.1
8,Ushuaia,75,AR,1560895228,93,-54.81,-68.31,6.0,6.7
9,Novosibirsk,90,RU,1560895228,87,55.03,82.92,13.0,8.0
10,Busselton,100,AU,1560895228,75,-33.64,115.35,3.33,3.57
11,Sherbrooke,75,CA,1560895218,35,45.4,-71.89,24.44,1.0
12,Maraa,93,BR,1560895229,70,-1.83,-65.37,29.5,0.95
13,Gewane,95,ET,1560895229,32,10.16,40.66,33.3,3.73
14,San Pedro,0,AR,1560895230,70,-33.68,-59.66,12.78,0.89
15,Rikitea,100,PF,1560895231,71,-23.12,-134.97,22.0,10.39
16,Vaini,57,IN,1560895231,88,15.34,74.49,25.4,1.46
17,Port Elizabeth,1,US,1560895231,58,39.31,-74.98,30.56,5.7
18,Haines Junction,100,CA,1560895231,37,60.75,-137.51,13.2,2.49
19,Tasiilaq,0,GL,1560895232,86,65.61,-37.64,3.0,4.6
20,Simpang,75,MY,1560895232,88,4.82,100.71,27.0,2.1
21,Mataura,99,NZ,1560895232,95,-46.19,168.86,1.67,2.58
22,East London,1,ZA,1560895233,81,-33.02,27.91,14.0,3.78
23,Cherskiy,56,RU,1560895233,43,68.75,161.3,15.5,4.89
24,Sola,0,FI,1560895233,52,62.78,29.36,20.0,3.1
25,Punta Arenas,20,CL,1560895233,70,-53.16,-70.91,8.0,5.7
